"Mapping_ID","Project_Name","Subject_Area","Source_System","Source_Database","Source_Schema","Source_Table","Source_Column","Source_Data_Type","Source_Length","Source_Nullable","Source_PK","Source_FK","Business_Rule_ID","Business_Rule_Name","Business_Definition","Transformation_Type","Transformation_Logic","Lookup_Table","Lookup_Join_Condition","Filter_Condition","Target_System","Target_Database","Target_Schema","Target_Table","Target_Column","Target_Data_Type","Target_Length","Target_Precision","Target_Scale","Target_Nullable","Target_PK","Target_FK","DQ_Rule","DQ_Severity","DQ_Action","SCD_Type","Effective_Date_Column","End_Date_Column","Current_Flag_Column","PII_Flag","Data_Masking_Rule","Owner","Approval_Status","Release","Notes"
"MAP_0001","DE Copilot Insurance Data Product","Customer 360","AGENCY","SRC_DB","PUBLIC","SRC_CUSTOMER","CUSTOMER_ID","NUMBER","18","N","Y","N","BR_0001","Customer Data Standardization","Unique customer identifier","Derived","CASE WHEN CUSTOMER_ID IS NULL THEN 'N' ELSE 'Y' END","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","CUSTOMER_ID","NUMBER","","18","0","N","Y","N","Must be valid active status","HIGH","Reject Row","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for CUSTOMER_ID"
"MAP_0002","DE Copilot Insurance Data Product","Customer 360","PRODUCT_MASTER","SRC_DB","PUBLIC","SRC_PRODUCT","CUSTOMER_NUMBER","VARCHAR","50","N","N","N","BR_0002","Customer Data Standardization","Business customer number","Derived","CASE WHEN CUSTOMER_NUMBER IS NULL THEN 'N' ELSE 'Y' END","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","CUSTOMER_NUMBER","VARCHAR","50","","","N","N","N","Must not be null","HIGH","Reject Row","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for CUSTOMER_NUMBER"
"MAP_0003","DE Copilot Insurance Data Product","Customer 360","POLICY_ADMIN","SRC_DB","PUBLIC","SRC_PRODUCT","FIRST_NAME","VARCHAR","100","Y","N","N","BR_0003","Customer Data Standardization","Customer first name","Direct","Direct Mapping","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","FIRST_NAME","VARCHAR","100","","","Y","N","N","Must not be null","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for FIRST_NAME"
"MAP_0004","DE Copilot Insurance Data Product","Customer 360","AGENCY","SRC_DB","PUBLIC","SRC_PRODUCT","LAST_NAME","VARCHAR","100","Y","N","N","BR_0004","Customer Data Standardization","Customer last name","Derived","LOWER(TRIM(LAST_NAME))","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","LAST_NAME","VARCHAR","100","","","Y","N","N","Must follow valid email format","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for LAST_NAME"
"MAP_0005","DE Copilot Insurance Data Product","Customer 360","PRODUCT_MASTER","SRC_DB","PUBLIC","SRC_AGENT","SRC_FULL_NAME","VARCHAR","250","Y","N","N","BR_0005","Customer Data Standardization","Customer full name","Derived","CAST(SRC_FULL_NAME AS DATE)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","FULL_NAME","VARCHAR","250","","","Y","N","N","Must exist in lookup table","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for FULL_NAME"
"MAP_0006","DE Copilot Insurance Data Product","Customer 360","AGENCY","SRC_DB","PUBLIC","SRC_CUSTOMER","EMAIL_ADDRESS","VARCHAR","255","Y","N","N","BR_0006","Customer Data Standardization","Customer email address","Derived","CAST(EMAIL_ADDRESS AS DATE)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","EMAIL_ADDRESS","VARCHAR","255","","","Y","N","N","Must not be null","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","Y","MASK_EMAIL","Data Engineering Team","Approved","Release 1.0","Mapping generated for EMAIL_ADDRESS"
"MAP_0007","DE Copilot Insurance Data Product","Customer 360","CLAIMS","SRC_DB","PUBLIC","SRC_POLICY","PHONE_NUMBER","VARCHAR","30","Y","N","N","BR_0007","Customer Data Standardization","Customer phone number","Derived","UPPER(TRIM(PHONE_NUMBER))","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","PHONE_NUMBER","VARCHAR","30","","","Y","N","N","Must be valid date","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","Y","","Data Engineering Team","Approved","Release 1.0","Mapping generated for PHONE_NUMBER"
"MAP_0008","DE Copilot Insurance Data Product","Customer 360","CRM","SRC_DB","PUBLIC","SRC_POLICY","DATE_OF_BIRTH","DATE","","Y","N","N","BR_0008","Customer Data Standardization","Customer date of birth","Derived","TRIM(DATE_OF_BIRTH)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","DATE_OF_BIRTH","DATE","","","","Y","N","N","Must be valid active status","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","Y","","Data Engineering Team","Approved","Release 1.0","Mapping generated for DATE_OF_BIRTH"
"MAP_0009","DE Copilot Insurance Data Product","Customer 360","CLAIMS","SRC_DB","PUBLIC","SRC_CLAIM","GENDER","VARCHAR","20","Y","N","N","BR_0009","Customer Data Standardization","Customer gender","Derived","CASE WHEN GENDER IS NULL THEN 'N' ELSE 'Y' END","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","GENDER","VARCHAR","20","","","Y","N","N","Must be valid date","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for GENDER"
"MAP_0010","DE Copilot Insurance Data Product","Customer 360","POLICY_ADMIN","SRC_DB","PUBLIC","SRC_POLICY","SRC_MARITAL_STATUS","VARCHAR","30","Y","N","N","BR_0010","Customer Data Standardization","Customer marital status","Derived","CASE WHEN SRC_MARITAL_STATUS IN ('BOUND','ISSUED') THEN 'ACTIVE' ELSE 'INACTIVE' END","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","MARITAL_STATUS","VARCHAR","30","","","Y","N","N","Must not be null","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for MARITAL_STATUS"
